,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0111161,0103064,0068646,0167404,0120737,0112384,0114746,0103639,0167260,0167261,0095016,0110357,0111503,0209144,0090605,0111257,0071562,0126029,0083658,0119217
1,0133093,0137523,0109830,0110912,0167260,0120737,0102926,0167261,0076759,0068646,0114814,0108052,0120815,0209144,0080684,0082971,0114369,0169547,0120586,0112573
2,0078748,0080684,0076759,0090605,0086190,0120815,0082971,0103064,0133093,0088247,0102926,0112573,0107290,0083866,0097576,0116282,0062622,0083658,0088763,0114746
3,0111161,0109830,0114814,0068646,0108052,0086190,0107290,0103064,0112573,0114709,0120815,0088763,0120737,0112384,0105236,0167261,0167260,0078748,0071562,0116629
4,0109830,0102926,0107290,0114369,0111257,0112864,0114746,0076759,0133093,0112740,0116629,0107614,0106918,0080684,0117060,0114069,0113189,0111280,0099653,0108160
5,0114709,0117060,0076759,0133093,0110932,0086190,0080684,0112697,0117500,0099785,0082971,0120815,0068646,0088763,0137523,0107688,0109445,0106697,0169547,0119654
6,0111161,0133093,0110912,0137523,0112573,0082971,0108052,0120815,0114369,0068646,0106977,0209144,0116282,0110357,0114746,0097576,0266543,0119654,0468569,0071853
7,0103064,0103639,0112864,0114709,0101414,0109444,0133093,0112740,0109040,0111282,0076759,0116629,0117060,0111280,0080684,0106582,0137523,0116282,0086190,0120815
8,0133093,0076759,0111161,0167260,0080684,0109830,0110912,0137523,0086190,0102926,0120815,0068646,0103064,0169547,0126029,0108052,0172495,0097576,0167404,0107290
9,0111161,0076759,0102926,1375666,0325980,0080684,0082971,0108052,0209144,0120815,0086190,0114709,0068646,0198781,0119217,0112573,0266697,0114814,0338013,0114369
10,0110912,0108052,0133093,0076759,0114369,0099348,0096895,0114814,0114709,0103639,0080684,0110357,0114746,0082971,0111282,0116282,0068646,0137523,0101414,0112740
11,0109830,0111161,0110912,0102926,0103639,0107290,0112573,0108052,0076759,0133093,0112384,0114709,0110357,0101414,0103064,0100405,0086190,0106977,0169547,0114814
12,0109830,0111161,0110912,0076759,0137523,0102926,0080684,0120737,0086190,0120815,0112573,0103064,0169547,0167260,0167261,0167404,0068646,0107290,0108052,0114814
13,0106977,0103064,0111503,0103639,0114814,0110357,0112864,0114709,0133093,0109444,0112740,0076759,0116629,0101414,0106918,0111282,0107614,0112431,0114069,0117060
14,0102926,0167260,0112573,0114814,0107290,0116282,0325980,0097576,0112384,0119217,0114746,0095016,0106977,0338013,0119654,0093779,0105236,0071562,0071853,0372784
15,0120815,0112573,0086190,0103064,0107290,0114709,0172495,0071562,0088763,0126029,0114746,0097576,0106977,0112384,0266697,0066921,0107048,0095016,0325980,0266543
16,0116282,0106977,0172495,0114746,0126029,0078748,0071853,0119217,0110357,0103639,0338013,0107048,0325980,0266697,0119654,0090605,0111257,0111503,0266543,0211915
17,0169547,0112384,0093779,0107048,0096895,0090605,0246578,0910970,0081505,0087332,0083866,0120915,0190332,0162222,0151804,0057012,0381061,0088847,0113189,0111282
18,0110912,0111161,0102926,0112573,0108052,0114814,0120815,0112384,0068646,0116282,0116629,0099348,0120737,0095016,0126029,0101414,0167260,0167261,0209144,0099685
19,0109830,0133093,0111161,0076759,0110912,0080684,0102926,0114709,0137523,0086190,0167260,0107290,0082971,0108052,0088763,0167404,0169547,0120815,0103064,0266543
20,0111161,0102926,0120815,0112573,0114369,0108052,0114814,0266543,0209144,0112384,0116282,0106977,0093779,0071853,0114746,0910970,0120382,0268978,0338013,0120586
21,0133093,0110912,0102926,0167261,0076759,0108052,0080684,0169547,0114814,0114369,0082971,0120815,1375666,0112573,0086190,0167404,0103064,0114709,0107290,0116282
22,0111161,0133093,0102926,0109830,0076759,0137523,0080684,0169547,0108052,0082971,0114369,0103064,0112573,0086190,0120737,0120815,0167404,0107290,0167261,0167260
23,0076759,0137523,0112573,0080684,0108052,0103064,0120737,0167260,0114369,0107290,0086190,0167261,0068646,0169547,0114709,0167404,0112384,0088763,0209144,0126029
24,0111161,0109830,0137523,0110912,0102926,0080684,0086190,0068646,0112573,0114814,0209144,0103064,0169547,0167404,0126029,0114369,0325980,0114709,0097576,0088763
25,0111161,0112573,0107290,0099348,0103064,0103639,0108052,0111257,0110357,0114814,0112740,0111282,0101414,0114069,0114709,0114746,0133093,0110475,0110148,0076759
26,0111161,0110912,0102926,0133093,0103064,0112573,0108052,0106977,0112384,0120815,0103639,0068646,0114814,0114369,0116282,0169547,0096895,0114746,0097576,0167404
27,0114709,0088763,0126029,0112384,0097576,1375666,0110357,0107048,0266543,0103639,0073486,0198781,0117060,0240772,0111503,0211915,0081505,0083866,0087469,0091042
28,0133093,0102926,0076759,0137523,0108052,0080684,0112573,0103064,0107290,0114369,0086190,0169547,0116282,0120737,0167260,0167261,0106977,0114709,0167404,0071562
29,0109830,0110912,0137523,0102926,0120815,0108052,0068646,0172495,0114814,0107290,0169547,0114709,0114369,0167404,0088763,0126029,0209144,0325980,0116282,0266543
30,0109830,0076759,0111161,0110912,0102926,0107290,0103064,0112573,0133093,0086190,0106977,0112384,0114746,0108052,0114369,0116282,0114814,0096895,0111503,0068646
31,0109830,0112573,0107290,0103064,0106977,0112384,0133093,0114369,0099348,0086190,0111503,0103639,0068646,0111257,0110357,0137523,0120815,0169547,0088763,0112864
32,0107290,0076759,0114369,0080684,0137523,0169547,0099348,0068646,0096895,0082971,0111503,0110357,0111257,0116629,0120737,0088763,0167260,0117060,0101414,0167261
33,0110912,0076759,0102926,0120737,0080684,0167260,0086190,0107290,0108052,0120815,0114369,0082971,0169547,0114814,0172495,0068646,0114709,0088763,0266543,0112384
34,0109830,0111161,0110912,0112573,0106977,0102926,0107290,0111503,0103639,0103064,0108052,0110357,0114369,0112864,0111257,0112740,0109444,0106918,0114069,0114709
35,0109830,0110912,0102926,0133093,0076759,0068646,0114814,0108052,0169547,0080684,0116282,0137523,0082971,0112573,0120815,0086190,0167404,0103064,0107290,0114709
36,0112573,0107290,0103064,0114369,0103639,0108052,0114814,0111257,0110357,0114709,0112740,0133093,0114746,0101414,0076759,0116629,0106918,0113189,0110475,0106582
37,0103064,0114369,0112864,0114709,0109444,0114746,0111282,0109040,0116629,0112431,0076759,0133093,0113189,0099653,0113957,0109686,0080684,0116282,0086190,0120815
38,0111161,0109830,0137523,0112573,0107290,0108052,0120815,0114709,0120737,0167260,0167261,0112384,0172495,0116629,0209144,0088247,0107048,0119654,0126029,0083658
39,0109830,0102926,0107290,0103064,0114369,0108052,0111257,0114814,0112740,0109444,0114746,0107614,0110148,0116629,0113189,0076759,0100405,0117060,0113957,0108160
40,0111161,0076759,0120737,0167260,0108052,0068646,0080684,0082971,0167404,0112573,0468569,0086190,0103064,0107290,0114709,0088763,0073486,0268978,0071853,0198781
41,0107290,0103064,0082971,0169547,0114709,0116282,0114746,0103639,0167404,0111257,0120737,0097576,0167260,0078748,0167261,0088247,0071853,0209144,0126029,0110475
42,0102926,0108052,0114746,0116629,0114814,0076759,0133093,0117998,0086190,0080684,0113497,0116282,0109831,0112697,0113161,0099785,0082971,0117500,0107206,0106673
43,0109830,0111161,0110912,0114746,0102926,0080684,0112573,0107290,0103064,0133093,0116282,0082971,0106977,0112384,0067992,0114814,0114369,0068646,0108052,0120815
44,0111161,0108052,0114369,0167260,0167261,0116282,0096895,0209144,0111257,0078748,0105236,0090605,0468569,0110413,0266697,0073486,0338013,0317705,0113189,0112431
45,0109830,0110912,0112384,0107290,0103064,0114369,0108052,0111257,0112431,0116629,0111280,0107614,0076759,0133093,0117060,0100405,0108160,0099653,0080684,0116282
46,0110912,0133093,0108052,0112573,0076759,0107290,0114814,0103064,0169547,0120737,0167260,0080684,0114709,0068646,0167261,0106977,0086190,0126029,0110357,0082971
47,0076759,0109830,0111161,0080684,0110912,0086190,0103064,0082971,0137523,0102926,0120815,0120737,0107290,0112573,0167261,0167260,0114709,0167404,0169547,0088763
48,0110912,0102926,0137523,0076759,0103064,0080684,0120737,0167260,0107290,0114814,0167261,0082971,0086190,0068646,0114369,0169547,0112384,0468569,0167404,0114709
49,0076759,0080684,0120737,0167260,0169547,0108052,0114814,0167261,0086190,0120815,0114369,0103064,0112573,0167404,0107290,0088763,0172495,0073486,0105236,0338013
50,0109830,0110912,0111161,0133093,0086190,0107290,0082971,0137523,0112573,0169547,0114814,0120815,0114369,0114709,0116282,0088763,0120737,0106977,0114746,0093779
51,0110912,0120737,0102926,0167261,0172495,0120815,0114814,0108052,0068646,0112573,0209144,0169547,0103064,0114369,0126029,0325980,0114709,0167404,0266543,0107290
52,0109830,0111161,0102926,0114814,0110912,0108052,0076759,0080684,0116282,0107290,0093779,0106977,0112384,0099348,0082971,0096895,0114709,0169547,0086190,0112573
53,0108052,0111503,0110357,0133093,0112864,0076759,0109444,0116629,0109040,0111282,0110475,0112462,0080684,0112431,0137523,0116282,0114069,0113189,0117060,0086190
54,0133093,0137523,0110912,0111161,0109830,0076759,0080684,0068646,0169547,0114814,0172495,0086190,0120815,0102926,0120737,0167260,0167261,0209144,0082971,0114369
55,0112384,0099348,0103639,0111257,0108052,0114814,0114709,0101414,0114746,0133093,0116629,0076759,0107614,0112431,0117060,0100405,0080684,0114924,0099653,0086190
56,0111161,0114369,0137523,0078748,0120737,0105236,0167260,0167261,0099685,0209144,0126029,0083866,0112431,0110413,0112864,0120903,0067992,0120586,0081505,0109040
