userId,moviename1,moviename2,moviename3,moviename4,moviename5,moviename6,moviename7,moviename8,moviename9,moviename10,moviename11,moviename12,moviename13,moviename14,moviename15,moviename16,moviename17,moviename18,moviename19,moviename20
1,"Shawshank Redemption, The (1994)",Terminator 2: Judgment Day (1991),"Godfather, The (1972)","Sixth Sense, The (1999)","Lord of the Rings: The Fellowship of the Ring, The (2001)",Apollo 13 (1995),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Aladdin (1992),"Lord of the Rings: The Return of the King, The (2003)","Lord of the Rings: The Two Towers, The (2002)",Die Hard (1988),"Lion King, The (1994)",True Lies (1994),Memento (2000),Aliens (1986),Speed (1994),"Godfather: Part II, The (1974)",Shrek (2001),Blade Runner (1982),Good Will Hunting (1997)
2,"Matrix, The (1999)",Fight Club (1999),Forrest Gump (1994),Pulp Fiction (1994),"Lord of the Rings: The Return of the King, The (2003)","Lord of the Rings: The Fellowship of the Ring, The (2001)","Silence of the Lambs, The (1991)","Lord of the Rings: The Two Towers, The (2002)",Star Wars: Episode IV - A New Hope (1977),"Godfather, The (1972)","Usual Suspects, The (1995)",Schindler's List (1993),Saving Private Ryan (1998),Memento (2000),Star Wars: Episode V - The Empire Strikes Back (1980),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Seven (a.k.a. Se7en) (1995),American Beauty (1999),American History X (1998),Braveheart (1995)
3,Alien (1979),Star Wars: Episode V - The Empire Strikes Back (1980),Star Wars: Episode IV - A New Hope (1977),Aliens (1986),Star Wars: Episode VI - Return of the Jedi (1983),Saving Private Ryan (1998),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Terminator 2: Judgment Day (1991),"Matrix, The (1999)","Terminator, The (1984)","Silence of the Lambs, The (1991)",Braveheart (1995),Jurassic Park (1993),E.T. the Extra-Terrestrial (1982),Indiana Jones and the Last Crusade (1989),Fargo (1996),2001: A Space Odyssey (1968),Blade Runner (1982),Back to the Future (1985),Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
4,"Shawshank Redemption, The (1994)",Forrest Gump (1994),"Usual Suspects, The (1995)","Godfather, The (1972)",Schindler's List (1993),Star Wars: Episode VI - Return of the Jedi (1983),Jurassic Park (1993),Terminator 2: Judgment Day (1991),Braveheart (1995),Toy Story (1995),Saving Private Ryan (1998),Back to the Future (1985),"Lord of the Rings: The Fellowship of the Ring, The (2001)",Apollo 13 (1995),Reservoir Dogs (1992),"Lord of the Rings: The Two Towers, The (2002)","Lord of the Rings: The Return of the King, The (2003)",Alien (1979),"Godfather: Part II, The (1974)",Independence Day (a.k.a. ID4) (1996)
5,Forrest Gump (1994),"Silence of the Lambs, The (1991)",Jurassic Park (1993),Seven (a.k.a. Se7en) (1995),Speed (1994),Die Hard: With a Vengeance (1995),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Star Wars: Episode IV - A New Hope (1977),"Matrix, The (1999)",Crimson Tide (1995),Independence Day (a.k.a. ID4) (1996),Mrs. Doubtfire (1993),"Firm, The (1993)",Star Wars: Episode V - The Empire Strikes Back (1980),Mission: Impossible (1996),Outbreak (1995),GoldenEye (1995),Star Trek: Generations (1994),Ghost (1990),Sleepless in Seattle (1993)
6,Toy Story (1995),Mission: Impossible (1996),Star Wars: Episode IV - A New Hope (1977),"Matrix, The (1999)",Quiz Show (1994),Star Wars: Episode VI - Return of the Jedi (1983),Star Wars: Episode V - The Empire Strikes Back (1980),Clueless (1995),"Rock, The (1996)",Home Alone (1990),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Saving Private Ryan (1998),"Godfather, The (1972)",Back to the Future (1985),Fight Club (1999),"Nightmare Before Christmas, The (1993)",Clerks (1994),Demolition Man (1993),American Beauty (1999),Men in Black (a.k.a. MIB) (1997)
7,"Shawshank Redemption, The (1994)","Matrix, The (1999)",Pulp Fiction (1994),Fight Club (1999),Braveheart (1995),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Schindler's List (1993),Saving Private Ryan (1998),Seven (a.k.a. Se7en) (1995),"Godfather, The (1972)","Fugitive, The (1993)",Memento (2000),Fargo (1996),"Lion King, The (1994)",Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Indiana Jones and the Last Crusade (1989),Finding Nemo (2003),Men in Black (a.k.a. MIB) (1997),"Dark Knight, The (2008)",Monty Python and the Holy Grail (1975)
8,Terminator 2: Judgment Day (1991),Aladdin (1992),Die Hard: With a Vengeance (1995),Toy Story (1995),Beauty and the Beast (1991),Clear and Present Danger (1994),"Matrix, The (1999)",Crimson Tide (1995),Ace Ventura: Pet Detective (1994),Stargate (1994),Star Wars: Episode IV - A New Hope (1977),Independence Day (a.k.a. ID4) (1996),Mission: Impossible (1996),Star Trek: Generations (1994),Star Wars: Episode V - The Empire Strikes Back (1980),Cliffhanger (1993),Fight Club (1999),Fargo (1996),Star Wars: Episode VI - Return of the Jedi (1983),Saving Private Ryan (1998)
9,"Matrix, The (1999)",Star Wars: Episode IV - A New Hope (1977),"Shawshank Redemption, The (1994)","Lord of the Rings: The Return of the King, The (2003)",Star Wars: Episode V - The Empire Strikes Back (1980),Forrest Gump (1994),Pulp Fiction (1994),Fight Club (1999),Star Wars: Episode VI - Return of the Jedi (1983),"Silence of the Lambs, The (1991)",Saving Private Ryan (1998),"Godfather, The (1972)",Terminator 2: Judgment Day (1991),American Beauty (1999),Shrek (2001),Schindler's List (1993),Gladiator (2000),Indiana Jones and the Last Crusade (1989),"Sixth Sense, The (1999)",Jurassic Park (1993)
10,"Shawshank Redemption, The (1994)",Star Wars: Episode IV - A New Hope (1977),"Silence of the Lambs, The (1991)",Inception (2010),Pirates of the Caribbean: The Curse of the Black Pearl (2003),Star Wars: Episode V - The Empire Strikes Back (1980),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Schindler's List (1993),Memento (2000),Saving Private Ryan (1998),Star Wars: Episode VI - Return of the Jedi (1983),Toy Story (1995),"Godfather, The (1972)","Monsters, Inc. (2001)",Good Will Hunting (1997),Braveheart (1995),Kill Bill: Vol. 1 (2003),"Usual Suspects, The (1995)",Eternal Sunshine of the Spotless Mind (2004),Seven (a.k.a. Se7en) (1995)
